SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-08,Jan-08,PC,Percentage,0,Units,,,5.56,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-08,Feb-08,PC,Percentage,0,Units,,,5.28,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-08,Mar-08,PC,Percentage,0,Units,,,5.36,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-08,Apr-08,PC,Percentage,0,Units,,,5.17,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-08,May-08,PC,Percentage,0,Units,,,5.5,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-08,Jun-08,PC,Percentage,0,Units,,,5.89,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-08,Jul-08,PC,Percentage,0,Units,,,6.03,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-08,Aug-08,PC,Percentage,0,Units,,,5.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-08,Sep-08,PC,Percentage,0,Units,,,5.99,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-08,Oct-08,PC,Percentage,0,Units,,,5.53,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-08,Nov-08,PC,Percentage,0,Units,,,5.73,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-08,Dec-08,PC,Percentage,0,Units,,,4.87,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-09,Jan-09,PC,Percentage,0,Units,,,4.42,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-09,Feb-09,PC,Percentage,0,Units,,,5.24,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-09,Mar-09,PC,Percentage,0,Units,,,4.97,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-09,Apr-09,PC,Percentage,0,Units,,,4.9,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-09,May-09,PC,Percentage,0,Units,,,5.05,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-09,Jun-09,PC,Percentage,0,Units,,,5.26,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-09,Jul-09,PC,Percentage,0,Units,,,5.18,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-09,Aug-09,PC,Percentage,0,Units,,,5.44,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-09,Sep-09,PC,Percentage,0,Units,,,5.38,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-09,Oct-09,PC,Percentage,0,Units,,,5.45,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-09,Nov-09,PC,Percentage,0,Units,,,5.39,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-09,Dec-09,PC,Percentage,0,Units,,,5.31,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-10,Jan-10,PC,Percentage,0,Units,,,5.35,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-10,Feb-10,PC,Percentage,0,Units,,,5.3,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-10,Mar-10,PC,Percentage,0,Units,,,4.92,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-10,Apr-10,PC,Percentage,0,Units,,,4.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-10,May-10,PC,Percentage,0,Units,,,4.95,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-10,Jun-10,PC,Percentage,0,Units,,,4.93,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-10,Jul-10,PC,Percentage,0,Units,,,4.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-10,Aug-10,PC,Percentage,0,Units,,,4.68,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-10,Sep-10,PC,Percentage,0,Units,,,4.28,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-10,Oct-10,PC,Percentage,0,Units,,,4.11,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-10,Nov-10,PC,Percentage,0,Units,,,4.48,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-10,Dec-10,PC,Percentage,0,Units,,,4.46,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-11,Jan-11,PC,Percentage,0,Units,,,4.69,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-11,Feb-11,PC,Percentage,0,Units,,,4.76,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-11,Mar-11,PC,Percentage,0,Units,,,4.51,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-11,Apr-11,PC,Percentage,0,Units,,,4.48,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-11,May-11,PC,Percentage,0,Units,,,4.34,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-11,Jun-11,PC,Percentage,0,Units,,,4.24,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-11,Jul-11,PC,Percentage,0,Units,,,4.23,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-11,Aug-11,PC,Percentage,0,Units,,,3.96,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-11,Sep-11,PC,Percentage,0,Units,,,3.75,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-11,Oct-11,PC,Percentage,0,Units,,,3.86,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-11,Nov-11,PC,Percentage,0,Units,,,3.8,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-11,Dec-11,PC,Percentage,0,Units,,,3.81,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-12,Jan-12,PC,Percentage,0,Units,,,3.8,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-12,Feb-12,PC,Percentage,0,Units,,,3.81,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-12,Mar-12,PC,Percentage,0,Units,,,3.95,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-12,Apr-12,PC,Percentage,0,Units,,,3.9,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-12,May-12,PC,Percentage,0,Units,,,3.75,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-12,Jun-12,PC,Percentage,0,Units,,,3.63,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-12,Jul-12,PC,Percentage,0,Units,,,3.3,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-12,Aug-12,PC,Percentage,0,Units,,,3.09,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-12,Sep-12,PC,Percentage,0,Units,,,3.05,,
